"PL_Effect_Size_lnRktoall_0.01","PL_Effect_Size_Type1_lnRktoall_0.01","PL_Effect_Size_Type2_lnRktoall_0.01","PL_Effect_Size_lnRkto0_0.01","PL_Effect_Size_Type1_lnRkto0_0.01","PL_Effect_Size_Type2_lnRkto0_0.01","PL_Effect_Size_lnRktoall_0.05","PL_Effect_Size_Type1_lnRktoall_0.05","PL_Effect_Size_Type2_lnRktoall_0.05","PL_Effect_Size_lnRkto0_0.05","PL_Effect_Size_Type1_lnRkto0_0.05","PL_Effect_Size_Type2_lnRkto0_0.05","PL_Effect_Size_lnRktoall_0.1","PL_Effect_Size_Type1_lnRktoall_0.1","PL_Effect_Size_Type2_lnRktoall_0.1","PL_Effect_Size_lnRkto0_0.1","PL_Effect_Size_Type1_lnRkto0_0.1","PL_Effect_Size_Type2_lnRkto0_0.1","PL_Effect_Size_lnRktoall_0.5","PL_Effect_Size_Type1_lnRktoall_0.5","PL_Effect_Size_Type2_lnRktoall_0.5","PL_Effect_Size_lnRkto0_0.5","PL_Effect_Size_Type1_lnRkto0_0.5","PL_Effect_Size_Type2_lnRkto0_0.5","PL_Effect_Size_lnR","PL_Effect_Size_Type1_lnR","PL_Effect_Size_Type2_lnR","PL_Effect_Size_hedgesD","PL_Effect_Size_Type1_hedgesD","PL_Effect_Size_Type2_hedgesD","unique_number"
0.595508710996029,"SPFL","Sup",0.597003320007043,"SPFL","Sup",0.589606501619105,"SPFL","Sup",0.597003320007043,"SPFL","Sup",0.582395816267242,"SPFL","Sup",0.597003320007043,"SPFL","Sup",0.53062825106217,"SPFL","Sup",0.597003320007043,"SPFL","Sup",0.597003320007043,"SPFL","Sup",1.43605542272164,"SPFL","Sup","50"
0.628369682243557,"SPFL","Sup",0.630046474192002,"SPFL","Sup",0.621753650898125,"SPFL","Sup",0.630046474192002,"SPFL","Sup",0.613683009205698,"SPFL","Sup",0.630046474192002,"SPFL","Sup",0.556125382995654,"SPFL","Sup",0.630046474192002,"SPFL","Sup",0.630046474192002,"SPFL","Sup",0.992024076941095,"SPFL","Sup","51"
0.609575415375273,"SPFL","Sup",0.610909082322973,"SPFL","Sup",0.604300218945832,"SPFL","Sup",0.610909082322973,"SPFL","Sup",0.59783700075562,"SPFL","Sup",0.610909082322973,"SPFL","Sup",0.55083095837969,"SPFL","Sup",0.610909082322973,"SPFL","Sup",0.610909082322973,"SPFL","Sup",0.811961403262471,"SPFL","Sup","52"
0.544727175441672,"SPFL","Sup",0.546047058729354,"SPFL","Sup",0.539512363524627,"SPFL","Sup",0.546047058729354,"SPFL","Sup",0.533135864770955,"SPFL","Sup",0.546047058729354,"SPFL","Sup",0.487178659946518,"SPFL","Sup",0.546047058729354,"SPFL","Sup",0.546047058729354,"SPFL","Sup",0.765770188069855,"SPFL","Sup","53"
1.17747086358043,"SPFL","Sup",1.18282042932071,"SPFL","Sup",1.15659954631846,"SPFL","Sup",1.18282042932071,"SPFL","Sup",1.13163415697306,"SPFL","Sup",1.18282042932071,"SPFL","Sup",0.967472288175663,"SPFL","Sup",1.18282042932071,"SPFL","Sup",1.18282042932071,"SPFL","Sup",1.00656899581038,"SPFL","Sup","54"
0.745055040161963,"SPFL","Sup",0.747214401830221,"SPFL","Sup",0.736546496094501,"SPFL","Sup",0.747214401830221,"SPFL","Sup",0.726191975337402,"SPFL","Sup",0.747214401830221,"SPFL","Sup",0.653107019122623,"SPFL","Sup",0.747214401830221,"SPFL","Sup",0.747214401830221,"SPFL","Sup",1.39116072814459,"SPFL","Sup","55"
0.868878927674844,"SPFL","Sup",0.871748956251368,"SPFL","Sup",0.857596612587778,"SPFL","Sup",0.871748956251368,"SPFL","Sup",0.843922899370678,"SPFL","Sup",0.871748956251368,"SPFL","Sup",0.749092336654421,"SPFL","Sup",0.871748956251368,"SPFL","Sup",0.871748956251368,"SPFL","Sup",1.04636617650658,"SPFL","Sup","56"
0.857150156830215,"SPFL","Sup",0.860009895975566,"SPFL","Sup",0.845909935112356,"SPFL","Sup",0.860009895975566,"SPFL","Sup",0.832290757461417,"SPFL","Sup",0.860009895975566,"SPFL","Sup",0.73794532345984,"SPFL","Sup",0.860009895975566,"SPFL","Sup",0.860009895975566,"SPFL","Sup",1.08479061171448,"SPFL","Sup","57"
0.0249163512645345,"SPFL","Sup",0.02497292093138,"SPFL","Sup",0.0246926125903717,"SPFL","Sup",0.02497292093138,"SPFL","Sup",0.0244185273481459,"SPFL","Sup",0.02497292093138,"SPFL","Sup",0.0224270357874443,"SPFL","Sup",0.02497292093138,"SPFL","Sup",0.02497292093138,"SPFL","Sup",0.0258357459885888,"SPFL","Sup","58"
0.343121977534029,"SPFL","Sup",0.343921790774657,"SPFL","Sup",0.339959936339498,"SPFL","Sup",0.343921790774657,"SPFL","Sup",0.336089168238823,"SPFL","Sup",0.343921790774657,"SPFL","Sup",0.308054256932658,"SPFL","Sup",0.343921790774657,"SPFL","Sup",0.343921790774657,"SPFL","Sup",0.562514350359295,"SPFL","Sup","59"
0.767530900681773,"SPFL","Sup",0.769605655005667,"SPFL","Sup",0.759347817715927,"SPFL","Sup",0.769605655005667,"SPFL","Sup",0.749372323216895,"SPFL","Sup",0.769605655005667,"SPFL","Sup",0.678429008085924,"SPFL","Sup",0.769605655005667,"SPFL","Sup",0.769605655005667,"SPFL","Sup",0.97435608372458,"SPFL","Sup","60"
0.502186261175283,"SPFL","Sup",0.503605375792504,"SPFL","Sup",0.496590507944119,"SPFL","Sup",0.503605375792504,"SPFL","Sup",0.489772214568158,"SPFL","Sup",0.503605375792504,"SPFL","Sup",0.441397117334228,"SPFL","Sup",0.503605375792504,"SPFL","Sup",0.503605375792504,"SPFL","Sup",0.627620592179455,"SPFL","Sup","61"
0.0124225199985572,"SO","Bagout",0.0125787822068601,"SO","Bagout",0.0118344576470029,"SO","Bagout",0.0125787822068601,"SO","Bagout",0.0111733005981252,"SO","Bagout",0.0125787822068601,"SO","Bagout",0.00772204609391031,"SO","Bagout",0.0125787822068601,"SO","Bagout",0.0125787822068601,"SO","Bagout",0.0482155569258111,"SO","Bagout","62"
0.0674412807955326,"SO","Bagout",0.0682082500265336,"SO","Bagout",0.0645385211375712,"SO","Bagout",0.0682082500265336,"SO","Bagout",0.0612436252407187,"SO","Bagout",0.0682082500265336,"SO","Bagout",0.0434851119397389,"SO","Bagout",0.0682082500265336,"SO","Bagout",0.0682082500265336,"SO","Bagout",0.279465559265752,"SO","Bagout","63"
